ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
55;PAID;1980;1;1;335;340;PAID (included);1;NA;1;313;correlational;correlational;0;1;0
56;PAID;1980;1;1;341;346;PAID (included);1;NA;1;52;quasi-experimental (between-design);quasi-experimental;0;0;0
57;PAID;1980;1;1;347;353;PAID (included);1;NA;1;2185;correlational;correlational;0;0;0
58;PAID;1980;1;1;355;361;PAID (included);1;NA;1;180;quasi-experimental (between-design);quasi-experimental;0;1;0
59;PAID;1980;1;1;363;370;PAID (included);1;NA;1;120;correlational;correlational;0;0;0
60;PAID;1980;1;1;371;380;PAID (included);1;NA;1;296;correlational;correlational;0;0;0
61;PAID;1980;1;1;381;382;PAID (included);1;NA;1;470;correlational;correlational;0;0;0
62;PAID;1980;1;1;383;384;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
63;PAID;1980;1;1;384;384;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
64;PAID;1981;2;2;1;4;PAID (included);1;NA;1;400;quasi-experimental (between-design);quasi-experimental;0;0;0
65;PAID;1981;2;2;5;10;PAID (included);1;NA;1;64;quasi-experimental (between-design);quasi-experimental;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;1;17;correlational;correlational;0;0;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;2;124;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;3;31;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;4;42;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;5;31;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;6;25;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;7;41;correlational;correlational;0;1;0
66;PAID;1981;2;2;11;20;PAID (included);1;NA;8;128;correlational;correlational;0;1;0
67;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
68;PAID;1981;2;2;25;29;PAID (included);1;NA;1;115;correlational;correlational;0;1;0
69;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
70;PAID;1981;2;2;37;46;PAID (included);1;NA;1;98;quasi-experimental (between-design);quasi-experimental;0;0;0
71;PAID;1981;2;2;47;52;PAID (included);1;NA;1;36;quasi-experimental (between-design);quasi-experimental;0;0;0
72;PAID;1981;2;2;53;55;PAID (included);1;NA;1;35;correlational;correlational;0;0;0
73;PAID;1981;2;2;57;60;PAID (included);1;NA;1;40;quasi-experimental (between-design);quasi-experimental;0;0;0
74;PAID;1981;2;2;61;83;PAID (included);1;NA;1;104;quasi-experimental (between-design);quasi-experimental;0;0;0
75;PAID;1981;2;2;85;87;PAID (included);1;NA;1;100;quasi-experimental (between-design);quasi-experimental;0;0;0
76;PAID;1981;2;2;89;89;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
77;PAID;1981;2;2;91;97;PAID (included);1;NA;1;211;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;2;210;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;3;208;correlational;correlational;0;1;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;4;205;correlational;correlational;0;1;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;5;106;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;6;104;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;7;87;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;8;82;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;9;79;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;10;56;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;11;73;correlational;correlational;0;0;0
77;PAID;1981;2;2;91;97;PAID (included);1;NA;12;18;correlational;correlational;0;0;0
