Key Performance Indicators,Definition,Source,Caveats,Raw Data Location,2012,2013,2014,2015,2016,2017,2018 Actual,2019 Actual,2020 Target,2020 Actual,X16,January,X18,X19,X20,February,X22,X23,X24,March,X26,X27,X28,April,X30,X31,X32,May,X34,X35,X36,June,X38,X39,X40,July,X42,X43,X44,August,X46,X47,X48,September,X50,X51,X52,October,X54,X55,X56,November,X58,X59,X60,December,X62,X63,X64,X65,X66,Jan - Dec 2020,X68,X69,Total Goal,X71,X72,X73
user growth rate,NA,NA,NA,NA,NA,5.26,2.25,2.14,2.41,1.59,1.37,1.36,1.33,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,downloads,57393.0,99221.3,daily rate,NA,NA,8948,NA
registration growth rate,NA,NA,NA,NA,NA,7.34,3.19,2.10,1.34,2.48,1.64,1.34,1.29,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5481,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 1, 2020",NA,NA,NA,NA,61,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Growth 2016/2017,Growth 2017/2018,Growth 2018/2019,2019 Pace (Jan-Oct data),Target 2020 growth rate,2020 Targets,NA,2020 target daily rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January 1, 2021",NA,NA,NA,NA,12869,NA
Yearly Net Increase in Registered Users,NA,NA,NA,NA,NA,NA,NA,NA,159%,137%,136%,"66,954",133%,"89,049",NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58052,NA
Yearly Public Projects,NA,NA,NA,NA,NA,NA,NA,NA,221%,183%,104%,"25,404",133%,"33,787",NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99493,NA
Yearly Files,NA,NA,NA,NA,NA,NA,NA,NA,177%,88%,133%,"2,676,744",133%,"3,560,070",NA,"9,754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA
Yearly Public Files,NA,NA,NA,NA,NA,NA,NA,NA,179%,54%,133%,"893,675",133%,"1,188,587",NA,"3,256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly Registrations,NA,NA,NA,NA,NA,NA,NA,NA,248%,164%,130%,"13,236",133%,"17,604",NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yearly unique visitors,NA,NA,NA,NA,NA,NA,NA,NA,200%,146%,173%,"2,050,807",133%,"2,727,574",NA,"7,473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
